Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Hyundai,Senta fe,2018,Saudi,White,Standard,3.3,Gas,Automatic,41542.0,Riyadh,69000.0
Kia,Optima,2017,Saudi,Black,Semi Full,2.4,Gas,Automatic,245000.0,Riyadh,45000.0
Genesis,Royal,2018,Saudi,Grey,Full,3.8,Gas,Automatic,78000.0,Riyadh,110000.0
Kia,Cadenza,2015,Saudi,Grey,Standard,3.5,Gas,Automatic,180000.0,Riyadh,57000.0
GAC,GS8,2020,Saudi,Blue,Full,2.0,Gas,Automatic,29200.0,Jeddah,80000.0
Toyota,Furniture,2017,Saudi,White,Semi Full,2.7,Gas,Automatic,400000.0,Riyadh,60000.0
Nissan,Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,108708.0,Riyadh,24000.0
Nissan,Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,124758.0,Riyadh,24000.0
Nissan,Sunny,2017,Saudi,Black,Standard,1.5,Gas,Automatic,158218.0,Riyadh,24500.0
Kia,Cadenza,2017,Saudi,Silver,Standard,3.3,Gas,Automatic,83000.0,Riyadh,50000.0
Nissan,Maxima,2017,Saudi,Grey,Full,1.0,Gas,Automatic,860000.0,Riyadh,77000.0
Hyundai,Azera,2018,Saudi,Brown,Semi Full,3.5,Gas,Automatic,79000.0,Riyadh,75000.0
Genesis,G80,2018,Saudi,White,Semi Full,3.8,Gas,Automatic,97000.0,Riyadh,98000.0
Kia,Cadenza,2016,Saudi,White,Standard,3.3,Gas,Automatic,122000.0,Riyadh,50000.0
Hyundai,Azera,2017,Saudi,White,Full,3.0,Gas,Automatic,168000.0,Riyadh,55000.0
Nissan,Maxima,2017,Saudi,Brown,Semi Full,1.0,Gas,Automatic,121000.0,Riyadh,64000.0
Toyota,Land Cruiser,2015,Saudi,White,Full,1.0,Gas,Automatic,300000.0,Riyadh,135000.0
Chevrolet,Caprice,2015,Saudi,Black,Standard,6.0,Gas,Automatic,264000.0,Riyadh,69000.0
Dodge,Challenger,2017,Other,White,Full,3.6,Gas,Automatic,113000.0,Dammam,99000.0
Honda,Accord,2018,Gulf Arabic,Golden,Full,2.4,Gas,Automatic,75000.0,Dammam,92000.0
Lexus,ES,2016,Other,Bronze,Semi Full,3.5,Gas,Automatic,88000.0,Dammam,115000.0
Nissan,Datsun,2015,Saudi,White,Semi Full,2.0,Gas,Manual,182000.0,Dammam,29000.0
Chevrolet,Camaro,2016,Other,Red,Full,3.6,Gas,Automatic,94000.0,Dammam,106000.0
Genesis,G80,2020,Saudi,Grey,Semi Full,3.8,Gas,Automatic,11000.0,Riyadh,125000.0
Ford,Taurus,2018,Other,Black,Full,3.5,Gas,Automatic,100000.0,Dammam,89000.0
Ford,Taurus,2015,Other,Black,Semi Full,3.5,Gas,Automatic,103000.0,Dammam,78000.0
Hyundai,Tucson,2019,Saudi,White,Semi Full,1.0,Gas,Automatic,67000.0,Riyadh,75000.0
Kia,Cadenza,2018,Saudi,Silver,Standard,3.3,Gas,Automatic,94000.0,Riyadh,55000.0
Hyundai,Elantra,2019,Saudi,Grey,Standard,2.0,Gas,Automatic,95000.0,Riyadh,52000.0
Hyundai,Accent,2017,Saudi,Grey,Semi Full,1.4,Gas,Automatic,147000.0,Riyadh,29000.0
Genesis,Royal,2016,Saudi,White,Full,3.8,Gas,Automatic,140000.0,Riyadh,88000.0
GMC,Yukon,2016,Saudi,Bronze,Full,6.2,Gas,Automatic,152000.0,Riyadh,122000.0
Nissan,Sunny,2017,Saudi,Grey,Standard,1.5,Gas,Automatic,152973.0,Riyadh,24500.0
Renault,Symbol,2020,Saudi,White,Standard,1.6,Gas,Automatic,46505.0,Riyadh,26000.0
Renault,Fluence,2015,Saudi,Grey,Semi Full,1.6,Gas,Automatic,116633.0,Riyadh,25500.0
Nissan,Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,90418.0,Riyadh,25500.0
Mazda,6,2019,Saudi,Brown,Standard,2.5,Gas,Automatic,129000.0,Riyadh,65000.0
Hyundai,Elantra,2014,Saudi,Grey,Full,2.0,Gas,Automatic,119000.0,Riyadh,33000.0
Honda,Accord,2017,Saudi,White,Semi Full,2.5,Gas,Automatic,173000.0,Riyadh,68000.0
MG,RX5,2018,Saudi,White,Full,3.0,Gas,Automatic,109000.0,Riyadh,49000.0
Toyota,Land Cruiser,2012,Saudi,Grey,Full,1.0,Gas,Automatic,448000.0,Riyadh,109000.0
Ford,Taurus,2016,Saudi,Another Color,Standard,3.5,Gas,Automatic,136000.0,Riyadh,58000.0
Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,97000.0,Riyadh,98000.0
